"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"This paper presents a parallel ray-casting volume rendering algorithm and its implementation on the massively parallel IBM SP-1 computer using the Chameleon message passing library. Though this algorithm takes advantage of many of the unique features of the SP-1 (e.g. high-speed switch, large memory per node, high-speed disk array, HIPPI display, et al.), the use of Chameleon allows the code to be executed on any collection of workstations. The algorithm is image-ordered and distributes the data and the computational load to individual processors. After the volume data is distributed, all processors then perform local ray tracing of their respective subvolumes concurrently. No interprocess communication takes place during the ray tracing process. After a subimage is generated by each processor, the final image is obtained by composing subimages between all the processors. The program itself is implemented as an interactive process through a GUI residing on a graphics workstation which is coupled to the parallel rendering algorithm via sockets. The paper highlights the Chameleon implementation, the GUI, some optimization improvements, static load balancing, and direct parallel display to a HIPPI framebuffer.<>","https://ieeexplore.ieee.org/document/346341/","LOCKED","346341","Div. of Math. & Comput. Sci., Argonne Nat. Lab., IL, USA","https://ieeexplore.ieee.org/author/37390206400","1","J.S. Rowlan","37390206400","Div. of Math. & Comput. Sci., Argonne Nat. Lab., IL, USA","https://ieeexplore.ieee.org/author/37660965300","2","G.E. Lent","37660965300","Div. of Math. & Comput. Sci., Argonne Nat. Lab., IL, USA","https://ieeexplore.ieee.org/author/37659324500","3","N. Gokhale","37659324500","Div. of Math. & Comput. Sci., Argonne Nat. Lab., IL, USA","https://ieeexplore.ieee.org/author/37664961300","4","S. Bradshaw","37664961300","","","","","","","","","","","","","","","","","","","","","10","21","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346341","30","Packaging","Switches","Workstations","Ray tracing","Graphical user interfaces","Concurrent computing","Message passing","Libraries","Computer displays","Distributed computing","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346341","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","48","21","A distributed, parallel, interactive volume rendering package"
"In order to develop a foundation for visualization, we develop lattice models for data objects and displays that focus on the fact that data objects are approximations to mathematical objects and real displays are approximations to ideal displays. These lattice models give us a way to quantize the information content of data and displays and to define conditions on the visualization mappings from data to displays. Mappings satisfy these conditions if and only if they are lattice isomorphisms. We show how to apply this result to scientific data and display models, and discuss how it might be applied to recursively defined data types appropriate for complex information processing.<>","https://ieeexplore.ieee.org/document/346304/","LOCKED","346304","Space Sci. & Eng. Center, Wisconsin Univ., Madison, WI, USA","https://ieeexplore.ieee.org/author/37352189500","1","W.L. Hibbard","37352189500","","https://ieeexplore.ieee.org/author/37343183500","2","C.R. Dyer","37343183500","","https://ieeexplore.ieee.org/author/37351406900","3","B.E. Paul","37351406900","","","","","","","","","","","","","","","","","","","","","","","","","","18","1","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346304","317","Lattices","Data visualization","Object oriented modeling","Pixel","Computer displays","Data models","Pipelines","Data engineering","Mathematical model","Information processing","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346304","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","49","310","A lattice model for data display"
"Swept surfaces and volumes are generated by moving a geometric model through space. Swept surfaces and volumes are important in many computer-aided design applications including geometric modeling, numerical cutter path generation, and spatial path planning. In this paper we describe a numerical algorithm to generate swept surfaces and volumes using implicit modeling techniques. The algorithm is applicable to any geometric representation for which a distance function can be computed. The algorithm also treats degenerate trajectories such as self-intersection and surface singularity. We show applications of this algorithm to maintainability design and robot path planning.<>","https://ieeexplore.ieee.org/document/346339/","LOCKED","346339","Gen. Electr. Corp. Res. & Dev. Center, Schenectady, NY, USA","https://ieeexplore.ieee.org/author/37282730100","1","W.J. Schroeder","37282730100","Gen. Electr. Corp. Res. & Dev. Center, Schenectady, NY, USA","https://ieeexplore.ieee.org/author/37378427200","2","W.E. Lorensen","37378427200","","https://ieeexplore.ieee.org/author/37659236800","3","S. Linthicum","37659236800","","","","","","","","","","","","","","","","","","","","","","","","","","35","4","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346339","45","Solid modeling","Path planning","Application software","Design automation","Computational geometry","Numerical models","Surface treatment","Computer numerical control","Robot motion","Mechanical systems","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346339","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","50","40","Implicit modeling of swept surfaces and volumes"
"Surface-based rendering techniques, particularly those that extract a polygonal approximation of an isosurface, are widely used in volume visualization. As dataset size increases though, the computational demands of these methods can overwhelm typically available computing resources. Recent work on accelerating such techniques has focused on preprocessing the volume data or postprocessing the extracted polygonization. The algorithm presented, concentrates instead on streamlining the surface extraction process itself so as to accelerate the rendering of large volumes. The technique shortens the conventional isosurface visualization pipeline by eliminating the intermediate polygonization. We compute the contribution of the isosurface within a volume cell to the resulting image directly from a simplified numerical description of the cell/surface intersection. The approach also reduces the work in the remaining stages of the visualization process. By quantizing the volume data, we exploit precomputed and cached data at key processing steps to improve rendering efficiency. The resulting implementation provides comparatively fast renderings with reasonable image quality.<>","https://ieeexplore.ieee.org/document/346306/","LOCKED","346306","Program of Comput. Graphics, Cornell Univ., Ithaca, NY, USA","https://ieeexplore.ieee.org/author/38181039700","1","J.W. Durkin","38181039700","","https://ieeexplore.ieee.org/author/38181916900","2","J.F. Hughes","38181916900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","14","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346306","300","Isosurfaces","Rendering (computer graphics)","Data visualization","Surface fitting","Data mining","Computer graphics","Acceleration","Streaming media","Pipelines","Image quality","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346306","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","51","293","Nonpolygonal isosurface rendering for large volume datasets"
"Cortex has been designed for interactive analysis and display of simulation data generated by CFD applications based on unstructured-grid solvers. Unlike post-processing visualization environments, Cortex is designed to work in co-processing mode with the CFD application. This significantly reduces data storage and data movement requirements for visualization and also allows users to interactively steer the application. Further, Cortex supports high-performance by running on massively parallel computers and workstation clusters. An important goal for Cortex, is to provide visualization to a variety of solvers which differ in their solution methodologies and supported flow models. Coupled with the co-processing requirement, this has required the development of a well defined programming interface to the CFD solver that lets the visualization system communicate efficiently with the solver, and requires minimal programming effort for porting to new solvers. Further, the requirement for targeting multiple solvers and application niches demands that the visualization system be rapidly and easily modifiable. Such flexibility is attained in Cortex by using the high-level, interpreted language Scheme for implementing user-interfaces and high-level visualization functions. By making the Scheme interpreter available from the Cortex text interface, the user can also customize and extend the visualization system.<>","https://ieeexplore.ieee.org/document/346310/","LOCKED","346310","Fluent Inc., Lebanon, NH, USA","https://ieeexplore.ieee.org/author/37653860300","1","D. Banerjee","37653860300","Fluent Inc., Lebanon, NH, USA","https://ieeexplore.ieee.org/author/37656395900","2","C. Morley","37656395900","Fluent Inc., Lebanon, NH, USA","https://ieeexplore.ieee.org/author/37574116600","3","W. Smith","37574116600","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346310","272","Data visualization","Computational fluid dynamics","Brain modeling","Displays","Memory","Application software","Workstations","Analytical models","Concurrent computing","Computer networks","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346310","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","52","265","The design and implementation of the Cortex visualization system"
"Since the introduction of standard techniques for isosurface extraction from volumetric datasets, one of the hardest problems has been to reduce the number of triangles (or polygons) generated. The paper presents an algorithm that considerably reduces the number of polygons generated by a Marching Cubes-like scheme (W. Lorensen and H. Cline, 1987) without excessively increasing the overall computational complexity. The algorithm assumes discretization of the dataset space and replaces cell edge interpolation by midpoint selection. Under these assumptions, the extracted surfaces are composed of polygons lying within a finite number of incidences, thus allowing simple merging of the output facets into large coplanar polygons. An experimental evaluation of the proposed approach on datasets related to biomedical imaging and chemical modelling is reported.<>","https://ieeexplore.ieee.org/document/346308/","LOCKED","346308","CNR, Pisa, Italy","https://ieeexplore.ieee.org/author/37265786500","1","C. Montani","37265786500","","https://ieeexplore.ieee.org/author/37659209500","2","R. Scateni","37659209500","","https://ieeexplore.ieee.org/author/37270887900","3","R. Scopigno","37270887900","","","","","","","","","","","","","","","","","","","","","","","","","","53","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346308","287","Surface fitting","Merging","Surface reconstruction","Adaptive filters","Filtering algorithms","Interpolation","Biomedical imaging","Chemicals","Software algorithms","Application software","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346308","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","53","281","Discretized Marching Cubes"
"Vector field rendering is difficult in 3D because the vector icons overlap and hide each other. We propose four different techniques for visualizing vector fields only near surfaces. The first uses motion blurred particles in a thickened region around the surface. The second uses a voxel grid to contain integral curves of the vector field. The third uses many antialiased lines through the surface, and the fourth uses hairs sprouting from the surface and then bending in the direction of the vector field. All the methods use the graphics pipeline, allowing real time rotation and interaction, and the first two methods can animate the texture to move in the flow determined by the velocity field.<>","https://ieeexplore.ieee.org/document/346312/","LOCKED","346312","Lawrence Livermore Nat. Lab., CA, USA","https://ieeexplore.ieee.org/author/37267387800","1","N. Max","37267387800","Lawrence Livermore Nat. Lab., CA, USA","https://ieeexplore.ieee.org/author/37284273900","2","R. Crawfis","37284273900","Lawrence Livermore Nat. Lab., CA, USA","https://ieeexplore.ieee.org/author/37266622300","3","C. Grant","37266622300","","","","","","","","","","","","","","","","","","","","","","","","","","37","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346312","255","Data visualization","Animation","Image segmentation","Vectors","Surface texture","Particle scattering","Noise generators","Shape","Laboratories","Hair","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346312","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","54","248","Visualizing 3D velocity fields near contour surfaces"
"The paper describes three alternative volume rendering approaches to visualizing computational fluid dynamics (CFD) data. One new approach uses realistic volumetric gas rendering techniques to produce photo-realistic images and animations from scalar CFD data. The second uses ray casting that is based an a sampler illumination model and is mainly centered around a versatile new tool for the design of transfer functions. The third method employs a simple illumination model and rapid rendering mechanisms to provide efficient preview capabilities. These tools provide a large range of volume rendering capabilities to be used by the CFD explorer to render rapidly for navigation through the data, to emphasize data features (e.g., shock waves) with a specific transfer function, or to present a realistic rendition of the model.<>","https://ieeexplore.ieee.org/document/346314/","LOCKED","346314","Dept. of Comput. Sci., Maryland Univ., Baltimore, MD, USA","https://ieeexplore.ieee.org/author/37282598900","1","D.S. Ebert","37282598900","","https://ieeexplore.ieee.org/author/37342422500","2","R. Yagel","37342422500","","https://ieeexplore.ieee.org/author/37653125700","3","J. Scott","37653125700","","https://ieeexplore.ieee.org/author/37372244200","4","Y. Kurzion","37372244200","","","","","","","","","","","","","","","","","","","","","7","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346314","239","Computational fluid dynamics","Data visualization","Rendering (computer graphics)","Transfer functions","Lighting","Animation","Casting","Computational modeling","Information science","Aerospace engineering","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346314","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","55","232","Volume rendering methods for computational fluid dynamics visualization"
"Meaningful scientific visualizations benefit the interpretation of scientific data, concepts and processes. To ensure meaningful visualizations, the visualization system needs to adapt to desires, disabilities and abilities of the user, interpretation aim, resources (hardware, software) available, and the form and content of the data to be visualized. We suggest describing these characteristics with four models: user model, problem domain/task model, resource model and data model. The paper makes suggestions for the generation of a user model as a basis for an adaptive visualization system. We propose to extract information about the user by involving the user in interactive computer tests and games. Relevant abilities tested are color perception, color memory, color ranking, mental rotation, and fine motor coordination.<>","https://ieeexplore.ieee.org/document/346316/","LOCKED","346316","Paderborn Univ., Germany","https://ieeexplore.ieee.org/author/37353973100","1","G.O. Domik","37353973100","","https://ieeexplore.ieee.org/author/37659327200","2","B. Gutkauf","37659327200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346316","223","Adaptive systems","Data visualization","Physics computing","Data models","Testing","Data mining","Animation","Application software","","","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346316","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","56","217","User modeling for adaptive visualization systems"
"The increasing distinguishing capability of tomographic and other 3D scanners as well as the new voxelization algorithms place new demands on visualization techniques aimed at interactivity and rendition quality. Among others, triangulation on a subvoxel level based on the marching cube algorithm has gained popularity in recent years. However without graphics hardware support, rendering many small triangles could be awkward. We present a surface rendering approach based on ray tracing of segmented volumetric data. We show that if a proper interpolation scheme and voxel traversal algorithm are used, high quality images can be obtained within an acceptable time and without hardware support.<>","https://ieeexplore.ieee.org/document/346320/","LOCKED","346320","Slovak Tech. Univ., Bratislava, Slovakia","https://ieeexplore.ieee.org/author/37659203900","1","M. Sramek","37659203900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","2","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346320","195","Rendering (computer graphics)","Ray tracing","Hardware","Data visualization","Image segmentation","Interpolation","Computational modeling","Medical simulation","Medical diagnosis","Layout","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346320","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","57","188","Fast surface rendering from raster data by voxel traversal using chessboard distance"
"Current software visualization tools are inadequate for understanding, debugging, and tuning realistically complex applications. These tools often present only static structure, or they present dynamics from only a few of the many layers of a program and its underlying system. This paper introduces ""PV"", a prototype program visualization system which provides concurrent visual presentation of behavior from all layers, including: the program itself, user-level libraries, the operating system, and the hardware, as this behavior unfolds over time. PV juxtaposes views from different layers in order to facilitate visual correlation, and allows these views to be navigated in a coordinated fashion. This results in an extremely powerful mechanism for exploring application behavior. Experience is presented from actual use of PV in production settings with programmers facing real deadlines and serious performance problems.<>","https://ieeexplore.ieee.org/document/346322/","LOCKED","346322","IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA","https://ieeexplore.ieee.org/author/37390629800","1","D. Kimelman","37390629800","IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA","https://ieeexplore.ieee.org/author/37398650700","2","B. Rosenburg","37398650700","IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA","https://ieeexplore.ieee.org/author/38321886000","3","T. Roth","38321886000","","","","","","","","","","","","","","","","","","","","","","","","","","15","2","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346322","178","Visualization","Software debugging","Software tools","Application software","Software prototyping","Prototypes","Libraries","Operating systems","Hardware","Navigation","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346322","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","58","172","Strata-various: multi-layer visualization of dynamics in software system behavior"
"We describe the theoretical and practical visualization issues solved in the implementation of an interactive real-time four-dimensional geometry interface for the CAVE, an immersive virtual reality environment. While our specific task is to produce a ""virtual geometry"" experience by approximating physically correct rendering of manifolds embedded in four dimensions, the general principles exploited by our approach reflect requirements common to many immersive virtual reality applications, especially those involving volume rendering. Among the issues we address are the classification of rendering tasks, the specialized hardware support required to attain interactivity, specific techniques required to render 4D objects, and interactive methods appropriate for our 4D virtual world application.<>","https://ieeexplore.ieee.org/document/346324/","LOCKED","346324","Dept. of Comput. Sci., Indiana Univ., Bloomington, IN, USA","https://ieeexplore.ieee.org/author/37664370800","1","R.A. Cross","37664370800","Dept. of Comput. Sci., Indiana Univ., Bloomington, IN, USA","https://ieeexplore.ieee.org/author/37333439100","2","A.J. Hanson","37333439100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","2","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346324","163","Virtual reality","Visualization","Rendering (computer graphics)","Hardware","Graphics","Cognitive science","Computer science","Computational geometry","Interactive systems","Silicon","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346324","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","59","156","Virtual reality performance for virtual geometry"
"Presents the front cover of the proceedings record.","","EPHEMERA","346343","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346343","","","","","","","","","","","","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346343","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","60","0_1","Proceedings Visualization '94"
