Authors
Gina Venolia
Jeffrey Meade
Herman Towles
J. F. Hughes
Jishang Wei
Tip E. Clifton III
Krzysztof Z. Gajos
Raphael T. Haftka
Terry Myerson
Jürgen Waser
Yicheng Hu
Paul Vincent
Ozan Ersoy
Thomas Rydell
Geoffrey S. Young
Kevin Kreeger
Alan Evans
Donna Peuquet
Joachim Spoerhase
Jun Tao 0002
Milo V. Kral
Haoran Xu
Joseph M. Hellerstein
Ryan Wesslen
Phil Moore
Jan W. Buzydlowski
Markus Hadwiger
Dirk J. Lehmann
Jared Hoberock
Derek Wills
Francine Chen 0001
Rainer Reich
Xiaoyan Kui
Yair Kurzion
Yael Albo
Oliver van Kaick
Erel Uziel
Holger Theisel
Ádám Nagy
Tushar M. Athawale
Michael A. Matheson
Lior Berry
Dominikus Baur
Carl Manaster
Niclas Andersson
Monika Büscher
Giuseppe Carenini
Marios Nicolaou
Piero Pili
Kristína Zákopcanová
John P. Ziebarth
Mario Valle
Matthew C. Humphrey
Soléakhéna Ken
Chelsea S. Yeh
Bernd Sevenich
Detlef Skaley
Dennis P. Hanson
Anjali Manivannan
Ran Chen
Maximilian Baust
Hank Childs
David H. Rogers 0001
Mark S. Drew
Karl J. Proctor
Aoyu Wu
David Crawford
Katy Williams
Md. Iqbal Hossain
Dave J. Holliday
Rupayan Neogy
Philippe C. D. Robert
Yutaka Matsushita
Xin Tong
Raúl San José Estépar
Jiazhe Wang
Daniel Cohen-Or
Daniel J. Wigdor
Volker Dicken
David Wessel
Chenyang Zhang
Alessandra Angelucci
Paul K. J. Han
Jason Dalton
José Alberto Cuminato
Alexander Kumpf
Andreas Elsener
Weiwen Jiang
Gordon L. Kindlmann
Florence Le Ber
Lynn McVey
Eric Luke
David Schroh
Prashant Kumar
Jun-yong Noh
Gordon Woodhull
Minsuk Kahng
Luoxuan Weng
Min Chen 0001
Ronghua Shi
Hans-Georg Pagendarm
Shash Sinha
Elisha Sacks
Alan Kyker
Jolly Chen
William H. Mason
Robert Stein
Bjørn Olstad
Cheuk Yiu Ip
Berk Geveci
Jie Liu
David Patrone
Paolo Federico 0001
Ovidio Mallo
Peter Parente
Douglas W. Stillman
Yiyang Tang
Grant P. Gruetzmacher
Long Wang
John Thurmond
Bernd Girod
Martin Nöllenburg
Jeremy E. Block
Doris Kosminsky
Hui Zhang 0027
Douglas Dommermuth
Ho Van Quan
Alex Kale
Norihiko Itoh
Baher Elgohari
E. Wes Bethel
Xuanwu Yue
Hossein Siadati
Barbara Endicott-Popovsky
Simone D. J. Barbosa
Bret Jackson
Graziano Blasilli
Roland Fernandez
Michael S. Horn
Eren Cakmak
Alan Turner
Mário Popolin Neto
Mirjana Vukovic
Jeremy Muhlich
Layla Shahamat
Chunyao Qian
Marinka Zitnik
Neil Spring
Issac J. Trotts
George G. Robertson
Shayan Monadjemi
Yu-Hsuan Chan
Agus Sudjianto
I. Ari Sadarjoen
Hai Lin 0003
Brad Colbert
J. L. Pajon
Katherine Coles
Simon Schröder
Joydip Kunda
Luciana Porcher Nedel
A. J. Fenlon
David Roseman
Xiaoli Qiao
Miquel Feixas
Peter Burger
Jinwook Seo
John Cavallo
Markus Rütten
Jayson Luc Peterson
Dirk A. Lorenz
Nadia Boukhelifa
Bill Howe
Dhiraj Barnwal
Marie-Thérèse Forster
Meemong Lee
Mary C. Whitton
Jérémie Allard
Tom Biddlecome
Daniel Wagner
Yue Wang
Ravi Ramamoorthi
Runfei Li
Monique Meuschke
Theresa-Marie Rhyne
Jingjing Liu
Ken Brodlie
Douglas J. Steel
Colin Sharp
Zoltan Konyha
Louis C. Vroomen
Yao Ming
Leishi Zhang
D. L. Kim
Riccardo Scateni
James A. Wise
Tony Bernardin
Christopher Jermaine
Serge Aluker
Suzana Djurcilov
Christian Wolf 0001
Sébastien Tremblay
Gregory R. Ganger
J. Dean Brederson
Karl J. Runge
Moshe Gutman
Julie Yang-Peláez
Larry Smithmier
Hai Tao
Lars S. Nyland
David Turo
Lars Grammel
Michael G. Christel
Matthias Hopf
Qi Liao 0002
Mengdie Hu
Moqi He
Colin Mollenhour
Liang Yu
Fei Wu 0001
Zhifan Zhu
Robert Cooper
Catherine M. Wilson
Simone Melchionna
Holger Steeb
Henning Wachsmuth
Yootai Kim
Ilir Jusufi
Graham Kosiba
Mingwei Li
Hossam Sharara
Victor Pascual-Cid
Dan A. Alcantara
Benjamin Bustos
Alexandra Voit
Pascal Aschwanden
David E. Laney
Dilpreet Singh
Byeonghun Lee
Fabien Bosquet
Francis Nguyen
Walter F. Stewart
Marlen Promann
Louis Bavoil
Ruth E. Lang
Thomas Lindemeier
Gord Davison
Delyar Tabatabai
Shenghui Cheng
Saiful Khan
Ulrike Kister
Morgan Mathiaut
James Bossert
Xiangyang Xue
Kai Li 0001
Jose Florencio de Queiroz Neto
Xiaowei Chu
Meeshu Agnihotri
Johannes Häußler
Edward Segel
Stephen Schendel
Ulrich Hoffmann
Devin Singh
Sharon Swartz
Anas Daghistani
Jonathan J. H. Zhu
Sara Di Bartolomeo
Philip Amburn
Jonathan Komperda
Junqi Wu
Randy C. Paffenroth
Mahdi Pakdaman Naeini
Zhihua Zhu
Justin D. Pearlman
Ross T. Whitaker
John Blendell
Hamed Alhoori
Veronika Soltészová
Mi Feng
Nathalie Lalande
Paul Hoover
Robert McDermott
Yuchen Yang
Jocelyn Ng
Patrick Hertzog
Craig Gotsman
Antti Oulasvirta
Ray Juang
Tatiana von Landesberger
William Ward
Shuirun Wei
Timothy W. Collins
Katrin Angerbauer
Sören Döring
Lujin Wang
Stefan Röttger
Ed Boring
Kimberly C. Claffy
Aritra Dasgupta
Brittany Kondo
Peter Macko
Chandrakant D. Patel
Thomas Nagel
Hamza Elhamdadi
Guillaume Favelier
Gregory Guterman
Hui Huang 0004
Yanlin Zhu
Alexander Gubin
Cristian Felix
Eric A. Stern
Lane Harrison
Yuxuan Hou
Tara M. Madhyastha
Tien Nguyen
Kristine Lee
Rocco Gasteiger
Iulian Peca
Khaled A. Al-Thelaya
Stuart K. Card
Russell M. Taylor II
Sara Johansson 0001
Hongfeng Yu 0001
Nitesh V. Chawla
Chase Stokes
Sudhanshu Sane
Naeem Shareef
David Lantrip
Parthasarathy Krishnaswamy
David Jablonowski
Kamran Eftekhari Shahroudi
Jincheng Jiang
John Rick
Jake Solomon
Pinaki Sinha
Jan Sahner
B. F. Kim
Julian Krolik
Shoubin Cheng
Malte Zöckler
Michael Wörner 0001
Sebastien Boyer
Guangliang Chen
Jens Gerken
Sabine Brunswicker
Sarah Gigitashvilli
Xiaoyi Wang
Richard Allen Miller
Alexander Pilhofer
Junlin Liu
José Antonio Iglesias Guitián
Laurent Castanie
Vahan Huroyan
Huamin Qu
Zachary Wartell
Da Cheng
Gábor Domokos
Ying Feng
Peter Shirley
Thomas Kamps
Evan A. Suma
Les Carr
Sara Alspaugh
Kay Nieselt
Heidi Lam
Michal Jacovi
Bastian Rieck
G. Edward Lent
Michel Crampes
Sebastian Mazza
Daniel Williams
Ming Jiang 0005
Shusen Liu
Xinyu Zhu
Fang-Xin Ou-Yang
Brian Denby
Annika Frank
Jeffrey Uhlmann
Ray W. Grout
Dani Tost
Tobias Skog
E. P. Szuszczewicz
Manuel Menezes de Oliveira Neto
Zhaopeng Meng
K. Eberhardt
Aditi Majumder
Takanori Fujiwara
Jianping Fan 0001
Honghui Mei
Crescentia Jung
Wayne Smith
Hyeok Kim
Zhongwei Wang
Pierre Alliez
Chat Wacharamanotham
Mao Ye
Xiaohan Jiao
Markus Höhn
Henry Sowizral
Magdalena Schwarzl
Huanliang Wang
Maria Cristina Ferreira de Oliveira
Anselmo Lastra
Jiafa Qin
Eric Christopher Wyatt
Hans-Peter Nollert
Eric Boivin
Frank Hardisty
Michelle X. Zhou
Mark Derthick
Andrew Callan-Jones
Louis Feng
Russ Burtner
Katherine McDonough
Laurent Lessard
Federico Ponchio
Nadia Magnenat-Thalmann
Hui Zhang 0051
Yongheng Wang
Pavol Ulbrich
Ines Färber
Hao Zhou
Furu Wei
Jill Kempf
Bao Gia Nguyen
Aaron Hoff
Johannes Kehrer
Natasha Alvarado
Bernhard E. Riecke
Lucian Voinea
Jennis Meyer-Spradow
Maureen C. Stone
Anjana Arunkumar
John F. Canny
Richard R. Pawlicki
Ola Nilsson
Kevin R. Gurney
Haiyan Yang
Xiao Zhang 0019
Chuck Baker
Yue Zhao
A. Robin Forrest
Xiangmin Zhou
James D. Foley
Shaojie Zhuo
John Kolojejchick
Zhilan Zhou
Johnny Campos
Bernard Grossman
Steven L. Wertheim
Laura Monroe
Brian C. McCann
Shaghayegh Esmaeili
William V. Wright
Ying He 0001
Michael Piatek
Kwan-Liu Ma
Benjamin Bach
Xiaojuan Ma
Alexandra La Cruz
Marco Jenny
Jian Huang 0007
Claudio Montani
Pierre J. Magistretti
Awalin Sopan
Marc Ruiz
Alistair D. M. Dove
Arthur E. Kirkpatrick
Maria Garcia de la Banda
Carla E. Brodley
Woodie Flowers
Siliang Tang
Peter Rothman
Alfred Kobsa
Dogan Demir
James K. Hahn
Markus Steinberger
Bryan Mehta
Dru Clark
Ben Shneiderman
Heidrun Schumann
Steve Benford
Glen N. Williams
Srikanth Kandula
Marcus Ewert
Amin Abbasloo
Golina Hulstein
Sven Schulte
Ian Gorton
Marzieh Berenjkoub
Lawrence T. Glickman
E. Margaret Evans
Zehua Zeng
Filip Dabek
Markus H. Gross
Scott Campbell
Denis Zorin
Le Song
Silvia N. Crivelli
Charles Berret
Alexandru C. Telea
Allison T. Silverman
Xiaoru Yuan
Bernhard Jenny
Mark Gahegan
Leni Yang
John T. Foley
Christopher R. Volpe
Meenakshisundaram Gopi
Eddy Kuo
Holly E. Rushmeier
Shane Ahern
Joel Dearden
Paolo Simonetto
Yuhang Zhao 0001
Soonwook Kwon
P. J. Narayanan
Robert M. Edsall
Dominique Brodbeck
Jens G. Magnus
Jeff P. Hultquist
Ka-Ping Yee
Yubo Zhang 0001
Yashwanthi Anand
Liang Gou
Robert F. Cromp
Jed Marti
G. Muccioli
Stéphane Ethier
Krzysztof Niski
Vedran Sabol
Fengyuan Tian
Martin Roth
Anthony J. Maeder
Olivier Thonnard
Jörg Peters 0001
Connor Gramazio
Jun Han 0010
Lutz Rastaetter
Mario Costa Sousa
Clemens Arbesser
Ching-Yung Lin
Makoto Maruya
Wolfgang Nowak
Rahul Duggal
Derek Bradley
Mahima Pushkarna
Lisanne van Dijk
Peter Hamilton
Shannon Bradshaw
Michel Cox
Andreas Bannach
Tulika Mitra
Yong Xu
Edward Angel
Simon Wildermuth
Jadran Vrabec
Joyce Ma
Anilkumar Patro
Axel Wendt
Leanna House
Benjamin W. Murphy
Nelson Wong
Zichun Zhong
Christian Ledergerber
Clemens W. G. M. Löwik
Mark A. Duchaineau
Mira Dontcheva
Linquan Huang
John Crowe
Philip Fawcett
Mark van de Ruit
Fanbo Deng
Bryan Genest
Gaël Guennebaud
Francis P. Boscoe
Peter Ørbæk
Lei Wang 0024
John West 0001
Paul Rosen 0001
Rick Guritz
Walter Schubert
Rafael Henkin
Baining Guo
George Em Karniadakis
Deborah A. Payne
John Timlin
Udo Zlender
Yutao Zhang
Timothy Urness
Emily R. Miraldi
Huaqiang Zhang
Günther Nürnberger
Weixing Lin
Barry L. Drake
Bilal Alsallakh
Eileen Vote
Johnson Chuang
Justin Talbot
Jiaxin Bai
Insung Ihm
Joel W. Reed
Ana M. Cuadros
Jens Bauer
Georg Geier
Philip M. Sutton
Catalina Vajiac
Mirjam Sick
Christopher Giertsen
Charles Aldrich
Hikmet Senay
Alexander Gribov
Fang Xu
Qiaomu Shen
Armin Kanitsar
Serban R. Pop
Dean Williams
Mark R. Petersen
John S. George
D'nardo Colucci
Ghulam Jilani Quadri
Nathan Litke
Jiaqi Wang
Arlind Nocaj
Yi-Jen Chiang
Gevorg Grigoryan
Ming C. Lin
P. Blanchard
James T. Kaba
Reinhold Preiner
Alan Lez
Isaac Cho
Hanqi Guo 0001
Thorsten Büring
Yong Wan
Judy Diamond
Kenneth P. Hinkley
V. Bui Tran
Xi Chen
Robert F. Dougherty
Marc Abrams
Yanna Lin
Jian Sun 0002
Deborah Hix
Jieying Huang
Teng-Yok Lee
Thomas Gerhold
Manlio Massiris Fernández
Roberta C. Ramos Mota
Dilip Mathew Thomas
Matthias Mitterreiter
Kevin W. Boyack
Christoph Garth
Stephen Ingram
Aniketh Venkat
Paulo Joia
Gian Italo Bischi
Yu Zheng 0004
Carissa Mai-Ping Knipe
Richard Marciano
Andrew E. Johnson 0001
Yifang Wang 0001
John J. Socha
Shuainan Ye
Milan Ikits
Ronald T. Azuma
Anthony Kouroupis
Oliver Kreylos
Sandy Engelhardt
Robert Judson-Torres
Stephen L. Senft
Andreas Müller 0012
Marc Antonijuan
Meg Pirrung
Boyang Xie
Xiaoran Yan
Shannon Coy
Scott Paulson
Almir Olivette Artero
Pierre Abel
Kyoung Ho Lee
Shizhao Sun
Varun Saini
Xinyi He
Weixia Xu
Yuan He 0004
Zhiyong Huang
Katarína Furmanová
Jules Vidal
Bongshin Lee
Tim Kröger
Leonid Zhukov
Keshav Dasu
Louis H. Kauffman
Bernd Tomandl
Markus Höferlin
Haitao Zhang
Igor Guskov
Luis Ceferino
Jason Cantarella
Lu Ying
Rimma V. Nehme
Ik Soo Lim
Mark A. Robinson
Wulue Zhao
Marc Alexander Schweitzer
Carrie Varley
Sylvia Saalfeld
Tong Ge
Nicholas Diakopoulos
Randall M. Rohrer
Carlos A. Dietrich
Jing Ye
Ivan Kolesár
Jürgen Schneider
Martha-Cary Eppes
Benjamin Höferlin
Jakob Jakob
Maryam Siahbani
Ivo Herrmann
Jambay Kinley
Tianyu Zhang
Chi Harold Liu
Anjul Tyagi
Xianfeng Gu
Kenneth Weiss 0001
Tudur Davies
Doris Jung Lin Lee
Juhee Bae
John K. Johnstone
Ayellet Tal
Gregory L. Schussman
Arjun Srinivasan
Mike Baldwin
David J. Israel
Hubert Mara
Nicole Jardine
Sébastien Rufiange
Lorne Leonard
Scott Stevson
Alexander Rice
Benjamin Tyner
T. J. True
Nancy O'Brien
Klaus Gwinner
Frederik Schramm
Lvkeshen Shen
Boris Yamrom
Tobias Rapp
Yasaman Ahmadi
Ben Torkian
Sungsoo Ha
Charilaos Papadopoulos
Eirik Bakke
Zheng Zhou
Vincent Y. Lum
Hanseung Lee
Nicholas Seltzer
Eric T. Stanton
Masato Okada
Stefan Gunther
Heungseok Park
Marc Borchers
Haichao Miao
Lonni Besançon
B. K. Choi
Ahmad M. Abusalah
J. T. Fry
Keith C. Clarke
Mudita Singhal
Jos B. T. M. Roerdink
Zachary Pousman
Bedrich Benes
Samana Shrestha
Aidong Lu
George Legrady
William J. Layton
Ute Schmid
Martin Schulz 0005
Dóra Erdös
Mark S. Peercy
Bruce Rundell
Neha Kumar
Abdul Rahman Shaikh
Stuart Andrews
Ingo Wald
John A. Lee
Bongwon Suh
Aran Lunzer
Grigory Antipov
Pier Francesco Cortese
Matthew O. Ward
Michael Stryker
Jian Kang
Andrew Wentzel
Olga A. Karpenko
Christian Döring
Shuhan Liu
Christoph Russ
Stephan Sellien
Sven Hermann
James Shearer
James P. Ahrens
Philippe Castagliola
Marie desJardins
Mathieu Le Muzic
Klaus H. Hinrichs
Andries van Dam
Michael Granitzer
László Szirmay-Kalos
Geoffrey H. Kuenning
Zhenge Zhao
Brian Duffy
Pierluigi Taddei
Eileen O. Miller
Sean C. Garrick
Daniel Haehn
P. Coleman Saunders
Heidrun Steinmetz
Daniel F. Keefe
Matthias Bernhard
Jayaraman J. Thiagarajan
Evangelos E. Milios
Daniela Oelke
Huihua Guan
Mondrian Hsieh
Joseph S. B. Mitchell
Christopher B. Cox
M. Andrew Eick
Hiroshi Ishii 0001
Benedikt Stehno
Jesse Grosjean
Richard Gee
Lee S. Elson
C. Small
Denis Gracanin
Bowen Yu 0004
Nivedita Sahasrabudhe
R. J. Moorehead
Mike M. Chow
Sandra Bae
Gautam Kumar
Emanuele Santos
Steve James Szigeti
Tera Marie Green
Phil W. Grant
Christoph P. E. Zollikofer
Yizhou Yu
Fernanda B. Viégas
James T. Klosowski
Wenwen Dou
Martin Fink 0001
Arnaud Sallaberry
Holly A. Taylor
Raymond Huang
Yun Wang 0012
Feng Wang 0013
Amani Ageeli
Paul L. Nunez
István Kókai
Brendan Harmon
Sarah Peck
Sarah Goodwin
Aaron E. Lefohn
Jorge Luis Williams
Christian Heine 0002
Xinwei Shi
Attila Gyulassy
Patrizia Palamidese
Matthew Chalmers
Ben Maule
Markus Probst
Gopal Patnaik
Alexandre Gerussi
Charisee Chiw
Cheng Deng
Michael Gertz 0001
Avital Steinitz
Sungahn Ko
Hong Zhou 0004
Jo Vermeulen
Derek Stephens
Wenbin He
Paulo E. Rauber
Stefan Guthe
Siji Chen
Liting Sun
Mahmud Shahriar Hossain
Július Parulek
Tom Peterka
Jung-Hong Chuang
André Neubauer 0002
Yifan Sun 0002
John D. Van Horn
Ralph Wickenhöfer
Max Sondag
Frederick W. B. Li
Ron Kikinis
Martin Imre
Caitlin Gutheil
Paula Goolkasian
Alexei A. Efros
Qisen Yang
Jirí Hladuvka
Michael Margaliot
Aida Nordman
Mashael AlKadi
Jean-Louis Dillenseger
Ko-Chih Wang
Benjamin T. Readshaw
E. Yanli
J. Shade
Axel J. Soto
Paul Issartel
Chengshun Wang
Ajit Johnson Nirmal
R. D. Williams
Joshua Vander Hook
Jonathan Zong
Eveline H. J. Mestrom
Mitchell Whitelaw
Klaus Greff
Wolfgang Aigner
Sye-Min Chan
Nobuko Nathan
Jaroslav Tyman
Yi Han 0005
David C. Banks
Ling Li 0006
Patrick Mackey
Rahul Sukthankar
Arjeh M. Cohen
Stephan J. Braun
Behzad Sajadi
Kasper Dinkla
Ilknur Icke
Paul A. Hinker
Gerard Lommerse
Julie A. Jacko
Aurélien Tabard
Vanessa Peña Araya
Zhu He
David Burlinson
Kevin P. McAuliffe
Lin Yan
T. Spelce
Benjamin J. Isaac
John Flynn
Di Weng
Kai Kang
Johanna Beyer
Robin Valenza
Sunghyo Chung
Mirko Mandic
Peter Rander
Steve Eick
Greg Johnson
Cristina Russo Dos Santos
Dave McColgin
Zeng Dai
Michael M. Stephens
Siegfried Handschuh
Yasuyo Kita
Florian Heimerl
Upul Obeysekare
Daniel Hubball
Yongmin Kim 0001
Oh-Hyun Kwon
Tichomir Tenev
Harvey E. Cline
Jean-Michel Dischler
Manfred Brill
Jens Schneider 0002
Samuel Gerber
Andreas Butz
Anita Ruangrotsakun
William Ribarsky
Payal Chandak
Marc R. Ilgen
Maria Luján Ganuza
Phillip A. Morin
R. Victor Klassen
Yadong Wu
David G. C. Hildebrand
Joel Daniels II
Stephen C. North
Karoline Villinger
Elizabeth H. Keating
Quan Li
Tom Abel
Aimen Gaba
Mor Naaman
Matthew Hurst
Shahram M. Shiri
Kurt Dejgaard
Jozef Bátrna
Xinnan Du
Youcheng Gong
Andrea Brambilla
Mark S. Keller
Rita Borgo
Cong Xie
Robert Kosara
Urska Cvek
Jimmy Lin
Yuet Ling Wong
Tanya E. Clement
Wayne E. Fordyce
Steve Linthicum
Jason Payne
Hayeong Song
Frank Michel 0001
Jacqueline Chen
Jianning Wang
Stéphane Marchesin
Maxim Khailo
Greg Turk
Reto Wettach
Scott D. Rothenberger
Peter A. Fletcher
Johannes Günther 0001
Steffen Koch 0001
Steve DiPaola
Jean Villerd
Xavier Tricoche
Fangzhao Wu
Stephen M. Smith 0001
Frederick P. Brooks Jr.
Dik Lun Lee
Patrick Degener
Roman Garnett
Shantanu Singh
David Glickenstein
Nitin Jain
Mark Bolstad
Christopher J. Garasi
Bettina Speckmann
Bernd Eberhardt
Daniel E. Huber
Ran Tao 0011
Fabio Miranda 0001
J. K. Fisher
Chao Han
Hartmut Kaiser
Su Huang
Brandon Heller
Ian Crandell
Anyi Li
Peter G. Sibley
Jonathan Stray
Yusi Wang
Sonia Castelo
Denis Kalkofen
Firdaus Janoos
Michael H. F. Wilkinson
Vikramjit Mukherjee
Zeqian Shen
Ben Shedd
Xu Liu 0014
Stefan Zellmann
Halldór Janetzko
Peng Xu
Frank Losasso
Jie Song
Maurizio Pizzonia
Zoya Maslak
Mingxuan Yuan
Rebecca M. Brannon
Mikko Nikkilä
Chris Tector
James Vanderhyde
Ryan Cotterell
Andreas Gerndt
Kristanto Sean Njotoprawiro
Richard Superfine
Mengyu Zhou
Adam Bodnar
Dorit Merhof
Olivier Devillers
Jing Yang
Minh Hoai
Roger Tan
Megan Monroe
Dominic Schneider
Hans Lamecker
Marco C. DeRuiter
Jennifer L. Dungan
Sheizaf Rafaeli
Amir Hossein Hajizadeh
Dirk Meetschen
Mathieu Le Goc
Erik-Jan van der Linden
Jim Smiley
Stephen G. Eick
Julio C. Bermudez
G. D. Montanaro
Darren Edge
Kuangyu Shi
Sara Tandon
Frank Suits
Siwei Fu
Gokul Varadhan
Imma Boada
Andreas A. Müller
Lihong Cai
Ray Twiddy
Raad Mohiaddin
Kikuo Fujimura
Alfred R. Fuller
Sarah H. Creem-Regehr
Cristina Morariu
Shyhtsun Felix Wu
Claudio Delrieux
Paul Ning
Thomas Löwe
Antony Unwin
Paul Adams
Michael Münchhofen
M. Braun
Laura von Rüden
Kan Dai
Michael D. McCool
Zhenmin Peng
Christopher Nimsky
Aditya Kalro
Scott Kruger
Yong Wang 0021
Renzhong Li
Mikhail Smelyanskiy
Jeremy de Oliveira-Kumar
Ehud Sharlin
Liran Carmel
Allan Tuchman
Karl Fischer
Behnam Tabatabai
Marco Olree
Marcus Handte
Mihael Ankerst
Gordon Ferguson
Donald S. Fussell
Tai-Quan Peng
Zhihua Jin
Julián Méndez 0001
Adam Huang
Henrik Buchholz
Shah Rukh Humayoun
Jae-Seung Yeom
Annika Bonerath
Emily Wall
Roger D. Hersch
Jihye Yun
Vanessa Eichel
Jonathan Feinberg
Dieter Lasser
Emanuel Zgraggen
Tariq Yousef
Sascha Köhn
Martin Baiker
Dani Lischinski
Michael J. Gerald-Yamasaki
Jochen Görtler
William Ivey
René Enguehard
Arpan Mangal
David N. Kenwright
Stephan Reiling
Quanjie Zhang
Mauro Maggioni
Wolfgang Kienreich
David Sturtz
Gulshan Panjwani
Katarina Younkin
Ka-Kei Chung
Hong Chen
Tian Gao
Carlo Pierpaoli
Kerry Rodden
Rob Ingram
Chris Ho
Philipp Weil
Joshua Levenberg
Bradley C. Lowekamp
Byeong-Seok Shin
Eli Holder
Zhanping Liu
Matthew A. Barish
Alex Bigelow
Christopher Wood
Stefan Rüdisühli
Julius Gonser
James S. Walker
He Huang
Søren Knudsen
Artem Sokolov
Andrew Vande Moere
Steve Sylvester
David R. Nadeau
Hanghang Tong
Irene Finocchi
Nadine Drager
Pascale Proulx
Cong Liu
Shanaz Y. Mistry
Camilla Forsell
Jonathan Roberts 0002
Natascha Sauber
Philipp Roskosch
Ethan L. Miller
Emmy-Charlotte Förster
Mario Jelovic
Shenyu Xu
Vidya Setlur
Stephen Wehrend
Daniel Toloudis
Bernhard Preim
Joakim Kilby
Josh Grant
Weiming Gu
Colin Fredericks
Zeyu Li 0003
Hai Ah Nam
Kiril Vidimce
Takumi Kaseda
Martina Maritan
Baba C. Vemuri
Z. Zhu
Andrew Mehler
Wenbo Tao
Hongyuan Zha
Irene Reppa
D. G. Tilley
Michal Cervenanský
Rajagopalan Srinivasan
Niklas Weiler
Haotian Li 0001
Yingchao Wang
Edward Grundy
Paolo Buono
Peter J. Basser
Gail-Joon Ahn
Juila Contreras-Garcia
Sean Ho
Haw-Jye Shyu
Bernhard Fröhler
Sandy Napel
Enxun Wei
Benjamin Lee
Kevin Montgomery
Zhiyong Guo
Martha Sharp Joukowsky
Rolf Müller
T. Todd Elvins
Bernd Gutkauf
Julie C. Xia
Stephan Wenger
Guangfeng Ji
Warren Carl Couvillion Jr.
Tamara Munzner
Ryan Eccles
Kevin Wampler
Dieter Schmalstieg
Natkamon Tovanich
Paolo Brivio
James L. Montine
Oliver Deussen
Thomas Erickson
Philippe Rocca-Serra
Sabrina Bresciani
Harlan Foote
Jarry H. T. Claessen
Pak Chung Wong
Fabio Sikansi
Yi-Shan Lin
Arlen Fan
Steven Houben
Matej Novotny
Rollin C. Thomas
Carsten Stoll
Kylie Lin
Benjamin Tissoires
Albert Webson
Xiaohui Li 0002
Tzi-cker Chiueh
Thomas Theußl
Haifeng Zhang
Ramana Rao
Yeting Xu
Xinyi Huang
John Alexis Guerra Gómez
Dominik Engel
Seth Johnson
Nancy S. Collins
Jonathan Barnett
Robert Albert
Chuck Woodbury
Robert S. Laramee
Daniel Nascimento
S. Peter Henzi
Chi-Keung Tang
Galileo Namata
Norma López
Harrie van den Bosch
Botong Qu
Gaofeng Deng
Jamie D. Weber
Rob Miller 0001
Jean R. Ponciano
William Ruh
Jeremy Jaech
Luana Micallef
Mathieu Brulin
Milana Huang
Luca Maria Gambardella
Sebastian Grottel
Norman Wittels
Elizabeth Jurrus
Michael J. Laszlo
Hyun Wook Park
Walter Shackelford
Airong Luo
Andrew Poon
Joe Kielman
Richard Strelitz
R. Tohid
Kossi D. Edoh
Vincent Bloemen
Kay Hamacher
Stefanie Schmid
Jamshed Dastur
Luc Renambot
Ron B. Yeh
Gordon Stoll
Frits Koning
Robert Boudreau
Xinxin Huang
Jason D. Wood
Timothy C. Johnson
Ratnesh K. Sharma
H. Marmanis
Wolfgang Heidrich
Gabriel Ryan
Glenn A. Fink
Ted Mihalisin
John M. Schreiner
Robert G. Hughes
Francine Evans
Andrea J. S. Hin
James Robergé
Peter Coppin
Paulo Ivson 0001
Sharmin (Tinni) Choudhury
Adam Jurcík
Erik M. M. Manders
Christian Luksch
Yang Yue
Yuriko Takeshima
Rishi Vanukuru
Dirc Rose
Vincent J. Argio
Michael R. Falvo
Jean Sreng
Shawn Bohn
Nicholas Kong
Patrick Min
Panpan Xu
Panagiotis D. Ritsos
Marek Franaszek
Peng Mi
Heidi Werner
Guoning Chen
Benjamin Schindler
Dong-Han Ham
Shing-Chi Cheung
Rostislav Khlebnikov
Eva Mayr
Sepideh Chakaveh
Daniel Bystrov
Rami Hietala
Roland Niemeier
Carter Emmart
Irene Tedjo-Palczynski
Matias Nicolás Selzer
Boris Jeremic
Nan-Chen Chen
Shantanu H. Joshi
Steffen Prohaska
Bei Wang 0001
Shade T. Shutters
Jonathan Robbins
Jeremy G. Freeman
Ellen Diep
Katy Börner
Reinhard Klein
Robert A. Greevy Jr.
Moushumi Sharmin
Guy-Warwick Evans
Mark Last
Jason Bryan
Hui Min Watt
Gregory A. Turner
David Blair Kirk
Bob Baddeley
Francis Lazarus
Whitney Huang
Liqun Jin
Yinqiao Wang
Nicu D. Cornea
Susanne Crewell
Natallia Kotava
Hiroaki Natsukawa
Guy Lebanon
Weichao Wang
Zhenyu Guo
Lingyun Yu 0005
Mehdi Ammi
George Francis
Alexander Sorokin
Frederik L. Dennig
Guowei Huang
Anton L. Fuhrmann
Yong Xiang
Ye Zhao 0003
Gopal Sarma Pingali
Yangqiu Song
Charles Falkenberg
John C. Goble
Adi Levin
Jörg Haber
Wendy Plesniak
Yanhong Wu
Louis Licamele
Mao Lin Huang
Evan M. Peck
Suzanne Yoakum-Stover
John Gerth
Paola Valdivia
Stéphane Puechmorel
Nathan Daniel Schiele
Jessie Kennedy
Pascal Poncelet
Marilyn Tremaine
CuiXia Ma
Acar Tamersoy
Clayton H. Lewis
Jorge Poco
Vid Petrovic
Martin Göbel
Zsolt Horváth
Poonam Shanbhag
Hans-Jörg Schulz
Daniel Seebacher
Marianna Farmakis-Serebryakova
Jun Chen
Eamonn Maguire
Guan Li
Zhimin Li
Minh X. Nguyen
Kelly Searsmith
Carlos Scheidegger
